uniqueId,date,tag,sub_type,type,rating,cost,predicted_ctr
140525507564816,2024-08-18,InApp,Finance,Native,PG-17,10,11.44
140526257210064,2024-08-18,InApp,Finance,Native,PG-13,11,15.4
140525191973840,2024-07-06,InApp,Finance,Native,PG-13,10,12.41
140525191973648,2024-06-29,InApp,Games,Native,PG-17,7,23.31
140525191973968,2024-01-13,InApp,Finance,Native,PG-17,9,18.1
140526253702160,2024-07-07,InApp,Games,Native,PG-17,6,14.86
140525220948368,2024-05-26,InApp,Finance,Native,,11,17.19
140526255769168,2024-03-10,InApp,Games,Native,PG-13,5,12.18
140526256130704,,InApp,Games,Native,PG-17,,
140526253697040,2024-04-11,InApp,Games,Native,PG-17,6,17.85
140526255305808,2024-07-16,InApp,Finance,Native,PG-17,9,20.0
140526253019728,,InApp,Games,Native,PG-13,6,14.1
140526253025232,2024-03-16,InApp,Finance,Native,PG-17,10,23.93
140525366126928,2024-08-20,InApp,E-commerce,Native,PG-13,14,14.88
140525364520336,2024-08-27,InApp,Finance,Native,PG-13,10,11.97
140525364515792,2024-07-31,InApp,Finance,Native,PG-13,10,19.94
140525364522448,2024-02-12,InApp,Finance,Native,PG-13,9,11.78
140525364517712,2024-04-02,InApp,Finance,Native,PG-13,9,11.83
140525364516752,2024-09-16,InApp,Finance,Native,PG-17,9,17.63
140525364514832,2024-09-02,InApp,Games,Native,PG-13,7,21.73
140525364511888,2024-06-28,InApp,Games,Native,,5,15.9
140525364520272,2024-06-21,InApp,Games,Native,PG-17,6,13.19
140525214156816,2024-05-29,InApp,Games,Native,PG-17,6,22.41
140525214157456,2024-09-07,InApp,Games,Native,PG-17,7,23.71
140526243973584,,InApp,Finance,Native,PG-13,11,15.3
140526243972432,2024-06-16,InApp,Games,Native,PG-13,,
140526243972304,2024-07-29,InApp,Finance,Native,PG-17,9,15.79
140526243973456,2024-12-03,InApp,Games,Native,PG-17,6,13.36
140526254480656,2024-05-15,InApp,Finance,Native,PG-17,11,18.98
140526254481552,2024-04-09,InApp,E-commerce,Native,PG-13,14,17.72
140526255709072,2024-06-12,InApp,Games,Native,PG-13,6,18.21
140526255708816,2024-04-04,InApp,Finance,Native,PG-13,10,15.87
140525534316048,2024-07-23,InApp,E-commerce,Native,PG-17,15,15.2
140525534315920,2024-10-28,InApp,Games,Native,PG-17,5,20.92
140525534327376,2024-07-09,InApp,Games,Native,PG-13,5,17.64
140525211750480,2024-07-16,InApp,Games,Native,PG-17,7,21.6
140525211749712,2024-07-27,InApp,E-commerce,Native,PG-17,14,16.97
140525211750416,2024-05-18,InApp,Games,Native,PG-13,6,17.47
140525211746448,2024-06-28,InApp,Games,Native,PG-17,5,10.39
140526252948880,2024-11-25,InApp,E-commerce,Native,PG-13,14,21.85
140526252939472,2024-01-04,InApp,Games,Native,PG-13,7,23.28
140526252949008,2024-08-15,InApp,Finance,Native,PG-13,10,18.41
140526252940560,2024-03-07,InApp,Games,Native,PG-13,6,16.65
140525202913744,2024-08-17,InApp,Finance,Native,PG-17,10,24.78
140525202911312,2024-12-05,InApp,Games,Native,PG-13,5,13.43
140525239657488,2024-06-16,InApp,Games,Native,PG-17,6,20.32
140525962630800,2024-08-03,InApp,Games,Native,PG-13,7,15.36
140525962627856,2024-07-27,InApp,Games,Native,PG-17,5,19.86
140526254572432,2024-03-20,InApp,Games,Native,PG-17,5,13.38
140525534201808,2024-11-29,InApp,Finance,Native,PG-13,11,15.32
140525534201360,2024-08-10,InApp,Finance,Native,PG-17,11,18.4
140525534214160,2024-07-04,InApp,Finance,Native,PG-13,10,16.74
140525356298064,2024-07-11,InApp,Finance,Native,PG-13,9,17.37
140526253344208,2024-03-17,InApp,E-commerce,Native,PG-17,13,12.52
140526253344848,2024-06-29,InApp,Finance,Native,PG-13,11,11.44
140526253343568,2024-06-29,InApp,Finance,Native,PG-13,8,14.23
140525962403728,2024-05-24,InApp,Games,Native,PG-17,6,24.32
140525962411088,2024-11-08,InApp,Games,Native,PG-13,,
140525962407504,2024-06-04,InApp,Finance,Native,PG-13,11,22.31
140525962409744,2024-08-28,InApp,Games,Native,PG-13,6,17.2
140525962406352,2024-09-26,InApp,E-commerce,Native,PG-13,13,15.26
140525962398736,2024-02-02,InApp,E-commerce,Native,PG-13,,
140525962405648,2024-04-13,InApp,Games,Native,PG-13,5,15.12
140526253034064,2024-11-27,InApp,Games,Native,PG-13,6,22.51
140526253033296,2024-06-28,InApp,Finance,Native,PG-17,11,18.29
140526253040400,2024-09-12,InApp,Finance,Native,PG-17,10,12.53
140526254465552,2024-05-03,InApp,Games,Native,PG-17,4,19.23
140526254465232,2024-05-29,InApp,Games,Native,PG-13,5,12.28
140525205027280,2024-04-30,InApp,Games,Native,PG-17,6,15.46
140525205014096,2024-09-22,InApp,Finance,Native,PG-13,3,22.95
140525962727888,2024-02-12,InApp,Games,Native,PG-13,6,20.76
140525962725584,2024-10-16,InApp,Games,Native,PG-13,5,13.16
140525962727248,2024-10-01,InApp,Finance,Native,PG-17,9,10.3
140526254493968,2024-07-29,InApp,Finance,Native,PG-17,10,19.73
140526254660304,2024-05-30,InApp,Finance,Native,PG-17,10,14.77
140526254659792,2024-07-15,InApp,Games,Native,PG-13,,
140525202679888,2024-03-21,InApp,Finance,Native,PG-13,10,21.03
140525202680144,2024-04-15,InApp,Games,Native,PG-13,6,20.41
140525202679760,2024-07-01,InApp,Games,Native,PG-17,6,22.13
140525202685008,2024-04-01,InApp,Games,Native,PG-17,4,19.72
140525202679568,2024-02-24,InApp,Games,Native,PG-17,7,21.01
140525202680336,2024-12-03,InApp,Finance,Native,PG-17,11,14.54
140525179606288,2024-08-03,InApp,Games,Native,PG-17,6,15.37
140525179616976,2024-10-07,InApp,Games,Native,PG-13,,
140525179617232,2024-09-25,InApp,Games,Native,PG-13,6,15.26
140525179603024,2024-06-06,InApp,Games,Native,PG-17,7,23.14
